# BLASTN 2.9.0+
# Query: Mu1.4
# Database: Genome/W22
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 137 hits found
Mu1.4	chr2	99.497	199	1	0	1	199	73902766	73902964	1.86e-98	363
Mu1.4	chr2	98.985	197	2	0	1	197	73904516	73904320	1.12e-95	353
Mu1.4	chr2	90.452	199	19	0	1	199	142959281	142959479	1.94e-68	263
Mu1.4	chr2	89.950	199	19	1	1	199	150736893	150737090	3.24e-66	255
Mu1.4	chr2	89.447	199	21	0	1	199	146444521	146444323	4.20e-65	252
Mu1.4	chr2	89.744	195	20	0	1	195	166469771	166469577	1.51e-64	250
Mu1.4	chr2	89.947	189	19	0	1	189	26569132	26569320	7.02e-63	244
Mu1.4	chr2	89.418	189	20	0	1	189	166467882	166468070	3.27e-61	239
Mu1.4	chr2	88.205	195	23	0	1	195	26571045	26570851	1.52e-59	233
Mu1.4	chr2	88.889	189	21	0	1	189	150738761	150738573	1.52e-59	233
Mu1.4	chr2	87.437	199	25	0	1	199	146442693	146442891	1.97e-58	230
Mu1.4	chr2	87.437	199	22	2	1	199	142961385	142961190	2.54e-57	226
Mu1.4	chr2	86.432	199	27	0	1	199	203241179	203240981	4.26e-55	219
Mu1.4	chr2	85.714	189	27	0	1	189	203236316	203236504	1.54e-49	200
Mu1.4	chr2	84.925	199	23	4	1	199	1683396	1683205	7.17e-48	195
Mu1.4	chr2	83.673	196	22	5	1	196	1672450	1672635	2.60e-42	176
Mu1.4	chr2	80.105	191	34	4	1	189	205351634	205351822	3.41e-31	139
Mu1.4	chr2	79.581	191	35	4	1	189	205353326	205353138	1.59e-29	134
Mu1.4	chr2	78.125	192	34	8	1	188	208115162	208114975	5.75e-24	115
Mu1.4	chr2	75.916	191	43	3	1	189	78235839	78236028	7.48e-18	95.3
Mu1.4	chr2	83.146	89	15	0	1	89	78240608	78240520	5.83e-14	82.4
Mu1.4	chr2	81.928	83	13	2	1	82	208073131	208073212	4.54e-10	69.4
Mu1.4	chr2	75.510	98	22	2	1	97	219409613	219409517	0.002	47.3
Mu1.4	chr2	78.788	66	14	0	34	99	19097417	19097482	0.008	45.4
Mu1.4	chr2	81.633	49	7	2	1	49	47508530	47508576	0.36	39.9
Mu1.4	chr2	87.879	33	4	0	28	60	206191845	206191877	0.36	39.9
Mu1.4	chr2	95.833	24	1	0	37	60	206194762	206194739	0.36	39.9
Mu1.4	chr6	93.970	199	12	0	1	199	108034482	108034284	4.11e-80	302
Mu1.4	chr6	88.500	200	21	2	1	199	113187932	113187734	9.08e-62	241
Mu1.4	chr6	88.442	199	22	1	1	199	108033162	108033359	3.27e-61	239
Mu1.4	chr6	89.928	139	14	0	1	139	113180739	113180877	2.01e-43	180
Mu1.4	chr6	100.000	32	0	0	159	190	113180877	113180908	2.73e-07	60.2
Mu1.4	chr6	87.879	33	4	0	28	60	161314915	161314947	0.36	39.9
Mu1.4	chr6	95.833	24	1	0	37	60	161320161	161320138	0.36	39.9
Mu1.4	chr9	90.909	198	18	0	1	198	94045111	94045308	1.50e-69	267
Mu1.4	chr9	90.404	198	19	0	1	198	94046980	94046783	6.97e-68	261
Mu1.4	chr9	91.005	189	17	0	1	189	149235005	149235193	3.24e-66	255
Mu1.4	chr9	87.081	209	17	2	1	199	149236774	149236566	7.07e-58	228
Mu1.4	chr9	85.930	199	28	0	1	199	138307332	138307134	1.98e-53	213
Mu1.4	chr9	85.427	199	29	0	1	199	8105310	8105508	9.21e-52	207
Mu1.4	chr9	86.294	197	20	4	9	199	138306129	138306324	9.21e-52	207
Mu1.4	chr9	84.422	199	31	0	1	199	8107416	8107218	1.99e-48	196
Mu1.4	chr9	86.014	143	20	0	57	199	24021500	24021358	1.22e-35	154
Mu1.4	chr9	87.671	73	7	2	22	93	24018694	24018765	1.62e-14	84.2
Mu1.4	chr9	74.825	143	33	3	1	141	10409991	10410132	7.59e-08	62.1
Mu1.4	chr9	79.121	91	18	1	2	92	23810943	23811032	7.59e-08	62.1
Mu1.4	chr9	80.000	75	13	2	37	110	10414426	10414353	1.27e-05	54.7
Mu1.4	chr9	77.528	89	12	6	1	85	27516719	27516635	0.002	47.3
Mu1.4	chr9	75.510	98	22	2	1	97	149021138	149021042	0.002	47.3
Mu1.4	chr9	77.778	63	14	0	37	99	27515323	27515385	0.36	39.9
Mu1.4	chr9	87.879	33	4	0	28	60	161788493	161788525	0.36	39.9
Mu1.4	chr9	95.833	24	1	0	37	60	161789702	161789679	0.36	39.9
Mu1.4	chr8	90.452	199	19	0	1	199	161122730	161122928	1.94e-68	263
Mu1.4	chr8	91.489	188	15	1	1	188	161124352	161124166	9.02e-67	257
Mu1.4	chr8	87.368	190	21	3	1	189	144606513	144606700	5.51e-54	215
Mu1.4	chr8	84.925	199	30	0	1	199	49078934	49078736	4.29e-50	202
Mu1.4	chr8	83.417	199	33	0	1	199	49076052	49076250	4.32e-45	185
Mu1.4	chr8	81.081	185	31	3	2	184	157192105	157192287	7.33e-33	145
Mu1.4	chr8	78.125	192	37	4	1	189	44857169	44857358	1.60e-24	117
Mu1.4	chr8	88.172	93	8	2	1	93	144608015	144607926	9.61e-22	108
Mu1.4	chr8	77.647	170	34	3	1	169	172949490	172949656	1.61e-19	100
Mu1.4	chr8	85.714	84	12	0	1	84	157215384	157215301	3.48e-16	89.8
Mu1.4	chr8	80.208	96	19	0	1	96	44858976	44858881	3.51e-11	73.1
Mu1.4	chr5	90.452	199	19	0	1	199	120060251	120060449	1.94e-68	263
Mu1.4	chr5	88.945	199	22	0	1	199	179490002	179490200	1.95e-63	246
Mu1.4	chr5	88.945	199	22	0	1	199	179492497	179492299	1.95e-63	246
